Table-16: Deposit Amount Distributed by District and Thana ,,,,,,,,,,,,,,,,,,,,,,,,,
All Banks,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCHEDULED BANKS,,,,,,,,,,,,,,,,,,,,,,,
,,Deposit Amount in Crore Taka,,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,2024
District,Thana,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1*ST QUARTER
,BANSHKHALI,754.85,759.53,816.81,915.66,901.11,907.02,954.95,1010.14,1093.82,1036.71,1180.75,1133.05,1123.26,1170.25,1192.07,1246.76,1661.64,1753.00,1347.40,1309.78,1344.74,1408.66,1434.50,1418.80
,BHUJPUR,89.78,98.78,108.86,118.09,128.71,140.07,154.45,158.95,157.79,162.64,188.42,199.40,205.34,214.70,232.83,249.56,235.17,258.29,270.64,261.98,273.70,285.53,294.06,287.75
,BOALKHALI,753.29,807.93,819.01,874.95,892.88,921.35,960.74,994.84,1005.41,1045.67,1169.22,1233.58,1238.47,1287.98,1370.96,1395.96,1406.90,1453.29,1491.49,1495.75,1573.92,1653.61,1724.44,1731.97
,CHANDANAISH,1091.20,1109.31,1145.65,1183.15,1165.91,1247.27,1268.22,1318.65,1348.12,1397.11,1585.19,1571.38,1588.90,1641.97,1703.35,1752.91,1750.77,1897.88,1903.99,1874.09,1995.59,2077.61,2131.98,2115.11
,CHANDGAON,3067.78,3092.34,3089.22,3338.69,3260.41,3338.50,3467.77,3604.29,3535.13,3621.48,3720.53,3887.50,3756.72,3913.96,3992.09,4128.82,3990.51,4091.71,4255.34,4223.32,4397.73,4542.73,4713.26,4733.85
,CHAWKBAZAR,3473.14,3447.81,3644.57,3790.24,3916.87,4012.05,4170.39,4536.40,4361.01,4693.99,4698.50,4856.72,4711.51,4674.02,4759.81,4932.71,5500.19,5673.27,5319.31,5498.02,5744.32,5689.57,5962.24,5972.06
,DOUBLE MOORING,45609.77,49824.09,46901.80,48183.99,51332.70,49255.74,49954.59,50783.90,48337.95,47789.30,51519.71,57359.98,55777.88,57393.50,56465.30,59220.22,63393.40,62683.21,63378.49,64368.41,70304.25,73234.34,73435.33,74401.43
,EPZ,1728.12,1663.87,1636.28,1744.66,1739.50,1821.52,1863.69,1955.84,1879.83,2094.10,2081.07,2125.31,2170.21,2257.05,2253.85,2361.56,2269.34,2260.96,2267.02,2293.74,2404.65,2394.59,2487.94,2403.20
,FATIKCHARI,3445.77,3519.94,3576.00,3663.19,3687.13,3770.05,3876.08,4040.29,3996.69,4099.87,4376.68,4512.83,4506.58,4600.02,4729.21,4850.02,4718.82,4895.31,5172.81,4975.51,5092.60,5298.69,5357.38,5270.12
,HALISHAR,2259.69,2260.70,2208.67,2274.77,2326.90,2354.92,2475.63,2591.61,2561.92,2681.19,2851.58,2995.82,2938.05,3059.29,3101.80,3167.32,3255.69,3364.71,3470.53,3523.69,3679.13,3744.69,3878.50,3991.98
,HATHAZARI,5775.00,5754.92,5834.56,6005.44,5976.81,6064.36,6145.57,6511.32,6452.83,6641.58,6994.65,7297.46,7305.96,7448.32,7520.97,7852.34,7742.83,8089.31,8283.67,8193.86,8414.92,8729.97,8856.60,9488.62
