Table-16: Deposit Amount Distributed by District and Thana ,,,,,,,,,,,,,,,,,,,,,,,,,
All Banks,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCHEDULED BANKS,,,,,,,,,,,,,,,,,,,,,,,
,,Deposit Amount in Crore Taka,,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,2024
District,Thana,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,1*ST QUARTER
,PATNITOLA,344.78,361.72,361.05,365.18,373.23,407.54,410.61,417.69,418.15,447.83,453.16,450.72,468.56,483.25,506.00,509.19,516.96,541.77,569.61,536.53,572.50,609.46,567.55,574.30
,PORSHA,81.08,89.84,91.34,94.60,86.86,103.05,99.36,106.52,99.14,114.84,113.96,116.94,112.67,120.84,126.51,120.22,111.25,130.52,129.48,127.44,122.05,125.54,117.50,115.81
,RANI NAGAR,98.36,106.32,99.62,99.51,104.56,112.41,108.35,109.04,108.65,120.61,117.41,125.06,120.59,131.52,130.00,138.39,138.63,144.09,147.29,149.76,150.91,160.08,162.77,164.86
,SAPAHAR,190.40,211.86,220.37,220.89,214.85,230.32,265.05,254.76,243.23,261.78,286.76,281.00,266.65,279.40,313.36,292.44,281.71,287.88,334.74,299.59,288.09,378.89,349.22,345.08
NARAIL Total,,1288.51,1392.75,1370.04,1439.18,1444.29,1548.02,1584.96,1764.15,1770.53,1873.26,1899.20,1984.80,1974.68,2112.66,2102.71,2203.09,2219.97,2277.44,2322.80,2322.58,2443.94,2528.60,2587.28,2645.19
NARAIL,KALIA,238.14,256.74,254.44,273.08,272.73,286.01,290.07,301.22,296.49,316.74,319.68,335.65,334.79,352.56,364.65,384.98,383.11,413.48,409.33,416.47,440.11,452.17,473.34,474.01
,LOHAGORA,410.78,442.47,440.38,466.74,470.11,509.94,527.51,593.30,592.90,626.34,637.76,665.11,660.24,689.14,704.08,745.92,738.14,772.77,784.16,782.45,803.01,825.44,838.07,849.70
,NARAGATI,20.41,22.73,22.69,24.21,25.47,26.42,27.32,27.37,26.96,27.57,29.97,31.89,32.92,33.32,36.57,37.84,36.34,38.92,40.22,39.14,39.77,43.10,43.39,41.84
,NARAIL,619.19,670.81,652.53,675.15,676.00,725.64,740.06,842.26,854.18,902.62,911.79,952.15,946.73,1037.64,997.41,1034.34,1062.39,1052.27,1089.09,1084.52,1161.05,1207.89,1232.47,1279.64
NARAYANGANJ Total,,19839.84,21206.70,20950.45,21448.62,21508.89,23261.84,23430.66,24398.14,24269.19,25434.55,26429.29,27443.02,27375.11,28470.86,28864.77,30378.67,30428.45,31869.40,32717.64,32383.55,34145.96,34638.73,34688.20,35985.11
NARAYANGANJ,ARIHAZAR,852.50,1009.43,1039.10,1091.77,1070.76,1256.21,1225.51,1200.57,1192.42,1252.90,1313.73,1366.95,1409.32,1561.59,1524.58,1529.92,1565.76,1618.39,1827.98,1709.95,1912.23,1915.79,1916.18,2025.93
,BANDAR(M),687.13,730.72,742.81,783.84,771.61,787.68,817.99,857.69,848.96,880.03,954.22,982.06,1009.81,1047.95,1087.93,1140.99,1124.62,1146.56,1199.24,1170.12,1158.31,1243.14,1214.89,1239.44
,FATULLAH(M),1767.64,1824.29,1900.85,1979.46,1931.45,2135.22,2181.79,2342.10,2257.75,2314.30,2497.35,2644.29,2715.71,2754.08,2812.17,2977.66,2918.48,3181.40,3272.03,3172.24,3451.71,3579.46,3555.58,3598.89
,NARAYANGANJ SADAR,10497.27,11166.07,10804.95,10964.59,11079.30,12082.33,12072.20,12534.31,12609.70,13286.85,13860.33,14337.97,13990.16,14497.39,14759.40,15677.18,15613.12,16078.55,16204.87,16667.63,17786.82,17992.21,17964.21,18938.23
,RUPGANJ,2062.57,2325.10,2319.13,2395.56,2440.51,2624.00,2668.02,2787.22,2739.18,2982.02,3008.01,3177.36,3278.45,3442.00,3492.07,3653.39,3797.08,4239.53,4563.16,4293.22,4262.10,4252.85,4196.23,4349.16
,SIDDHIRGANJ,1703.67,1803.25,1763.62,1816.37,1821.16,1901.50,1972.88,2061.57,2079.37,2092.08,2192.78,2243.63,2284.95,2369.96,2301.70,2445.33,2437.22,2530.29,2536.96,2400.01,2469.00,2545.26,2595.67,2601.39
,SONARGAON,2269.05,2347.83,2379.99,2417.04,2394.11,2474.90,2492.26,2614.68,2541.81,2626.37,2602.87,2690.75,2686.71,2797.88,2886.93,2954.19,2972.18,3074.67,3113.40,2970.37,3105.80,3110.02,3245.44,3232.07
NARSHINGDI Total,,8079.09,8874.56,8871.70,8980.55,8998.73,9761.74,9906.17,10305.52,10167.55,11234.25,11672.23,12298.29,12007.17,12688.96,13041.12,13066.22,13045.95,13879.43,13919.07,13421.93,14510.90,14625.30,14856.94,15629.15
NARSHINGDI,BELABO,188.93,206.47,229.63,204.28,205.84,223.98,229.51,226.97,224.84,248.92,267.01,272.82,264.07,277.90,290.22,293.10,291.76,313.02,332.77,335.80,362.60,380.31,395.75,400.29
,MADHABDI,2149.79,2430.62,2400.17,2413.71,2399.82,2757.73,2671.86,2671.60,2564.96,3095.94,3043.46,3136.65,3080.64,3320.43,3291.69,3293.56,3209.62,3485.88,3379.57,3139.70,3568.43,3459.48,3452.49,3794.02
,MONOHARDI,529.34,572.19,587.93,625.52,623.13,654.02,688.87,737.30,735.83,782.74,876.57,968.62,892.71,930.78,970.26,994.41,987.71,1047.22,1089.06,1049.43,1121.08,1178.37,1198.14,1217.15
,NARSHINGDI SADAR,3178.26,3503.56,3431.36,3506.19,3517.02,3765.97,3840.46,4043.07,4043.18,4384.92,4534.54,4748.41,4683.58,4993.23,5023.68,5089.74,5164.73,5484.63,5405.07,5262.03,5675.77,5635.40,5760.35,5987.67
,PALASH,1174.71,1198.53,1223.95,1244.21,1229.29,1280.09,1346.23,1430.36,1417.86,1472.69,1578.85,1703.76,1626.29,1652.07,1738.50,1764.66,1771.20,1810.04,1930.17,1921.34,1924.81,1994.89,2065.55,2194.23
,RAIPURA,477.33,548.51,549.85,563.95,585.65,624.26,651.31,689.16,681.02,722.66,806.24,879.27,894.78,928.74,949.98,995.33,995.58,1068.38,1099.24,1042.06,1113.25,1183.81,1189.41,1207.77
,SHIBPUR,380.73,414.68,448.81,422.69,437.97,455.69,477.93,507.06,499.85,526.37,565.57,588.76,565.11,585.81,776.78,635.41,625.35,670.27,683.19,671.57,744.96,793.04,795.25,828.02
NATORE Total,,2501.70,2641.72,2584.31,2659.43,2642.57,2984.62,2884.36,3089.95,3058.67,3332.92,3453.76,3622.01,3618.45,3718.30,3878.47,3928.10,3871.89,4093.34,4055.29,4078.34,4334.84,4494.35,4608.54,4698.52
NATORE,BAGATIPARA,184.29,197.29,199.75,203.04,193.23,263.33,219.82,259.68,241.74,253.75,252.72,302.12,287.87,282.10,303.98,332.59,279.90,302.44,317.79,308.48,370.75,377.10,377.70,418.94
,BARAIGRAM,269.99,293.47,290.07,292.03,285.00,311.81,313.96,324.81,329.52,369.20,397.72,393.47,406.15,434.47,448.25,449.37,434.68,476.32,487.17,501.42,530.95,545.94,547.64,547.86
,GURUDASPUR,211.05,209.22,203.44,211.40,215.82,224.84,224.47,240.77,252.70,268.78,276.48,286.98,304.83,304.25,309.82,305.56,318.31,331.21,326.41,323.28,346.70,360.04,368.16,389.81
,LALPUR,261.25,287.96,275.73,276.91,282.38,317.18,315.93,324.81,335.71,367.31,369.49,393.01,377.65,397.76,405.97,406.32,423.72,443.80,445.18,430.75,462.67,467.13,474.33,490.71
,NAL DANGA,59.57,64.50,61.10,63.45,61.31,69.54,66.48,68.79,67.76,78.49,80.10,91.63,88.41,94.53,98.06,100.88,98.78,105.01,108.15,109.01,111.08,113.02,114.25,118.76
,NATORE SADAR,1293.28,1347.14,1320.94,1367.89,1362.98,1539.70,1481.28,1602.59,1563.65,1695.74,1756.61,1834.24,1820.25,1864.49,1971.52,1982.29,1900.10,2011.97,1975.72,2011.84,2100.81,2207.58,2297.30,2311.43
,SINGRA,222.27,242.13,233.27,244.71,241.85,258.22,262.42,268.50,267.59,299.66,320.64,320.56,333.29,340.73,340.87,351.09,416.41,422.60,394.89,393.57,411.87,423.55,429.17,421.01
NETROKONA Total,,1592.57,1833.50,1709.25,1754.56,1797.06,2083.57,1997.78,2056.52,2117.62,2318.85,2450.48,2468.97,2530.39,2652.66,2735.33,2855.34,2819.89,3300.63,3188.81,3086.51,3244.01,3482.81,3649.80,3573.83
NETROKONA,ATPARA,51.57,58.80,53.58,57.17,54.25,69.41,64.71,60.16,59.64,71.99,72.86,74.69,70.18,82.63,85.96,89.10,87.72,99.47,100.33,99.95,110.34,108.64,107.24,107.04
,BARHATTA,82.72,90.75,80.65,84.72,88.71,96.98,97.78,92.67,93.34,102.15,108.06,109.48,102.69,110.10,110.83,114.71,115.67,125.40,125.47,124.84,130.18,143.52,146.02,150.02
,DURGAPUR,123.00,137.80,132.38,141.68,146.16,169.88,175.37,185.38,187.15,195.62,198.33,208.38,225.50,238.39,229.21,247.59,237.44,216.93,208.59,214.61,228.77,236.50,244.83,270.92
,KALIAJURI,34.83,34.64,34.55,32.67,31.09,37.54,34.34,33.44,34.08,43.09,41.37,43.25,47.51,46.27,43.19,44.88,45.53,47.77,46.87,59.41,54.32,59.06,50.51,54.37
,KALMAKANDA,69.36,75.03,74.01,75.41,77.61,89.87,88.90,87.10,94.67,100.85,109.71,107.94,107.01,113.18,114.00,123.71,123.90,140.31,145.55,140.30,135.99,139.13,141.45,138.22
,KENDUA,115.66,132.36,122.80,124.69,123.05,135.55,135.77,135.88,133.96,153.88,156.25,157.72,157.35,169.73,179.80,172.41,169.45,195.39,202.85,190.56,218.32,218.84,234.51,225.34
,MADAN,74.30,83.73,88.76,85.50,83.46,97.99,94.62,97.15,97.78,110.25,113.36,113.15,108.76,117.85,116.54,114.20,144.65,448.46,137.36,137.34,142.36,143.05,143.51,143.64
,MOHONGANJ,121.39,181.97,130.85,136.06,136.90,167.11,151.97,158.50,159.63,174.80,187.14,181.59,171.61,185.31,183.45,199.35,204.10,243.90,246.18,229.26,239.43,245.07,251.13,243.26
,NETROKONA,809.75,911.38,877.38,901.47,917.60,1024.05,1006.71,1038.41,1092.94,1179.40,1252.22,1261.23,1310.51,1339.20,1372.18,1460.85,1400.95,1451.24,1661.50,1586.72,1633.61,1826.35,1891.78,1856.79
,PURBADHALA,109.99,127.04,114.28,115.19,138.22,195.19,147.61,167.83,164.43,186.83,211.18,211.55,229.27,250.01,300.17,288.55,290.49,331.77,314.11,303.52,350.68,362.65,438.81,384.25
NILPHAMARI Total,,2096.67,2349.15,2231.15,2367.08,2355.28,2479.72,2500.19,2631.43,2567.26,2782.93,2690.68,2987.82,2882.96,3092.44,3185.37,3307.08,3382.97,3622.69,3293.34,3439.62,3481.02,3559.62,3681.36,3804.53
NILPHAMARI,DIMLA,87.87,107.02,99.65,101.80,103.06,116.52,112.41,112.74,111.41,125.82,118.09,132.91,135.32,151.08,154.38,153.48,155.73,160.95,152.87,156.69,160.31,172.45,160.81,162.98
,DOMAR,117.58,145.15,118.59,122.60,126.01,134.50,137.13,137.35,136.35,149.38,113.83,156.88,153.07,172.75,171.15,167.38,163.63,182.87,174.97,173.89,184.57,197.20,195.85,199.61
,JALDHAKA,149.90,160.52,159.09,159.83,156.40,170.94,169.40,187.84,183.13,201.37,184.25,211.09,205.89,220.96,225.01,224.63,233.26,248.43,238.26,233.09,261.66,268.55,276.64,294.04
,KISHOREGANJ,60.08,70.23,62.92,65.19,64.74,74.54,67.73,72.13,67.51,79.25,66.74,84.84,80.10,83.08,78.98,80.34,79.95,90.96,86.16,86.36,92.71,92.58,98.33,102.50
,NILPHAMARI SADAR,551.85,597.22,571.42,596.57,598.63,658.74,662.20,664.70,676.85,730.54,716.91,766.56,769.59,846.63,907.33,927.77,1081.09,1143.18,931.18,947.82,1020.54,1022.64,1052.10,1100.28
,SAYEDPUR,1129.39,1269.01,1219.48,1321.10,1306.44,1324.48,1351.32,1456.67,1392.03,1496.56,1490.86,1635.54,1538.99,1617.94,1648.52,1753.49,1669.30,1796.29,1709.90,1841.77,1761.22,1806.21,1897.63,1945.11
NOAKHALI Total,,10433.92,10957.50,11110.32,11451.89,11464.48,12010.84,12443.27,12998.57,12891.12,13645.36,14663.56,15371.22,15385.90,15933.29,16582.86,16914.54,16695.52,17502.21,18056.84,17284.26,18110.55,18912.73,19242.10,19449.37
NOAKHALI,BEGUMGANJ,2976.77,3114.40,3129.16,3184.20,3212.34,3365.30,3451.81,3570.80,3579.50,3748.53,4006.69,4134.04,4152.51,4261.97,4446.75,4566.90,4506.35,4638.43,4743.38,4582.31,4797.36,4926.47,5019.92,5073.81
,CHAR JABBER,167.84,181.34,193.75,193.51,195.67,212.27,229.77,231.39,226.94,241.97,256.68,264.48,266.88,289.06,283.24,294.10,285.07,304.30,321.61,296.49,323.46,331.22,334.75,337.96
,CHATKHIL,1337.83,1381.05,1401.35,1437.80,1448.80,1485.11,1534.81,1617.71,1603.76,1693.89,1841.20,1963.34,1962.53,2038.91,2115.24,2163.83,2118.59,2221.71,2294.03,2143.61,2233.16,2335.19,2355.49,2368.56
,COMPANIGANJ,1289.39,1332.00,1361.75,1427.78,1430.48,1481.83,1533.46,1613.28,1605.30,1683.96,1828.21,1926.50,1930.75,1990.85,2039.96,2095.82,2075.61,2163.09,2235.06,2121.68,2213.09,2293.52,2348.84,2354.61
,HATIA,175.48,190.24,210.42,208.22,197.99,210.90,241.38,230.82,213.20,230.78,261.57,261.42,246.37,261.49,299.79,303.09,325.25,355.57,341.91,328.06,348.02,367.53,370.52,361.56
,KABIRHAT,228.93,250.24,258.15,260.45,261.99,278.69,282.47,295.60,288.91,306.77,347.63,348.64,374.81,414.47,423.26,413.06,436.69,475.80,446.63,422.36,450.46,467.96,472.54,480.01
,SENBAGH,714.77,739.31,740.62,777.26,776.34,816.26,839.85,883.13,858.30,904.50,982.86,1041.54,1042.91,1085.73,1118.79,1149.73,1119.73,1181.08,1211.74,1153.77,1213.45,1282.56,1296.17,1344.36
,SONAIMURI,1507.58,1540.73,1574.29,1616.07,1650.86,1714.09,1777.30,1877.29,1839.07,1928.38,2110.99,2234.99,2270.04,2269.79,2377.98,2421.04,2425.23,2541.17,2666.15,2509.59,2611.01,2754.37,2828.63,2850.68
,SUBARNACHAR,33.54,35.11,39.55,38.54,37.80,41.50,47.18,52.77,54.91,56.39,60.14,63.18,65.38,68.77,73.43,74.66,76.46,83.20,87.82,87.30,92.13,103.96,109.00,110.48
,SUDHARAM,2001.77,2193.09,2201.28,2308.07,2252.19,2404.91,2505.26,2625.78,2621.23,2850.18,2967.58,3133.11,3073.71,3252.26,3404.43,3432.31,3326.56,3537.88,3708.52,3639.09,3828.40,4049.94,4106.25,4167.35
PABNA Total,,5804.09,6240.29,6139.35,6330.20,6246.72,6663.15,6879.37,7219.28,7133.89,7612.19,7925.68,8371.74,8273.49,8718.23,8711.63,9210.81,9361.54,10336.25,10166.63,10120.00,10369.29,10579.38,10876.09,10798.04
PABNA,AMINPUR,58.54,59.14,61.07,66.91,63.99,66.22,68.49,70.55,70.91,73.64,76.54,85.24,83.65,88.17,92.44,101.16,99.09,103.89,113.94,117.27,124.10,125.87,134.22,135.96
,ATAIKULA,99.99,109.98,113.16,117.31,116.89,129.80,134.53,143.40,138.67,151.38,167.38,186.03,175.38,187.01,184.86,190.47,172.34,192.04,197.43,192.83,201.13,210.12,207.25,202.70
,ATGHORIA,88.57,93.69,89.89,93.09,94.49,105.41,95.45,103.47,96.33,111.29,112.98,118.11,116.36,126.99,126.24,130.43,130.96,137.66,139.18,144.81,146.63,149.49,155.97,152.92
,BERA,299.14,318.53,328.82,332.93,321.74,346.01,363.60,366.47,356.73,393.45,396.31,418.49,416.47,448.60,448.22,477.41,473.03,512.53,546.68,542.12,595.97,634.70,654.30,661.05
,BHANGURA,137.38,140.36,133.02,136.91,138.32,152.16,154.39,153.18,145.25,160.53,165.89,177.08,174.62,182.81,184.25,196.90,196.24,214.89,215.92,224.30,238.21,247.27,251.01,254.38
,CHATMOHAR,241.56,261.11,261.52,275.48,284.90,312.47,320.53,328.76,334.81,353.61,365.09,391.85,388.47,411.58,405.63,425.69,418.22,448.08,466.32,460.63,486.95,493.76,502.54,510.88
,FARIDPUR,119.90,132.73,126.63,123.88,120.63,128.92,133.81,135.07,125.78,137.49,148.37,154.70,150.15,159.95,164.14,173.08,176.99,192.12,199.22,197.11,199.63,202.63,205.79,207.32
,ISHWARDI,1045.90,1109.45,1131.18,1169.11,1145.36,1238.93,1253.45,1378.21,1393.57,1465.45,1557.02,1649.08,1633.04,1707.40,1702.02,1839.68,2029.77,2385.74,2172.77,2154.47,2019.43,2028.81,2165.09,2074.48
,PABNA SADAR,2825.80,3063.69,2941.83,3034.52,2999.28,3141.10,3252.81,3421.61,3349.27,3592.58,3686.53,3864.22,3827.42,4083.83,4035.53,4248.56,4250.20,4677.71,4606.18,4603.10,4848.00,4927.38,4999.99,4996.70
,SANTHIA,644.19,681.58,693.73,714.97,704.48,748.54,811.90,808.41,817.43,850.06,915.75,972.97,969.10,961.69,1010.99,1056.06,1038.53,1076.56,1102.70,1079.46,1084.40,1117.68,1148.17,1142.10
,SUJANAGAR,243.12,270.02,258.49,265.10,256.63,293.59,290.39,310.14,305.16,322.70,333.83,353.98,338.82,360.19,357.29,371.39,376.17,395.02,406.29,403.89,424.84,441.66,451.76,459.55
PANCHAGARH Total,,801.88,903.07,848.59,861.18,851.02,942.64,944.04,1001.14,1021.26,1118.32,1066.54,1182.86,1160.37,1245.78,1215.79,1277.49,1273.78,1392.37,1378.29,1402.89,1514.58,1551.94,1604.24,1634.50
PANCHAGARH,ATWARI,86.22,96.36,93.08,90.44,90.32,98.72,98.10,101.11,99.36,111.25,101.56,118.58,111.60,112.22,110.37,113.36,115.83,134.92,133.53,134.37,138.95,144.75,146.76,146.55
,BODA,67.42,73.65,72.47,73.88,73.75,86.80,82.91,87.29,92.36,101.44,87.78,112.60,109.51,118.70,129.54,151.39,158.44,170.03,178.16,187.13,195.33,202.57,208.51,210.77
,DEBIGANJ,134.07,143.98,133.72,137.81,141.03,153.46,151.96,167.65,166.96,182.80,169.57,200.22,193.10,212.50,194.32,207.28,213.96,226.30,208.49,214.06,218.01,219.75,238.35,243.00
,PANCHAGARH SADAR,448.46,512.01,471.78,482.15,472.72,523.90,529.88,560.99,575.93,627.88,626.57,655.75,652.05,695.48,676.40,697.01,682.19,741.70,741.70,759.54,851.29,861.36,902.86,916.88
,TETULIA,65.72,77.07,77.54,76.90,73.20,79.75,81.19,84.10,86.65,94.96,81.07,95.70,94.11,106.89,105.17,108.45,103.35,119.43,116.41,107.79,110.99,123.51,107.75,117.29
PATUAKHALI Total,,2643.45,2947.91,2795.56,2911.74,2928.58,3217.51,3188.07,3310.61,3238.72,3463.62,3524.07,3792.66,3787.98,3916.41,3956.68,4068.98,4006.52,4310.50,4357.55,4425.72,4727.11,4724.08,4833.33,5015.06
PATUAKHALI,BAWPHAL,401.12,434.37,372.48,437.00,436.69,472.13,477.57,484.39,480.25,512.60,520.54,542.36,540.15,569.41,616.76,632.09,619.84,671.69,658.06,663.25,685.93,709.46,706.68,723.49
,DASHMINA,103.91,113.64,109.03,110.27,109.04,118.02,113.53,119.08,114.79,123.67,120.08,122.67,122.57,129.20,130.53,131.89,130.56,149.03,152.71,154.60,164.76,168.73,170.86,176.32
,DUMKI,135.83,145.35,146.99,158.44,153.87,166.02,163.90,172.74,173.50,185.96,189.64,195.75,199.52,204.80,208.02,234.40,240.26,243.19,230.89,273.18,253.79,254.84,299.29,256.61
,GALACHIPA,301.59,332.45,341.58,330.22,328.55,360.13,347.18,347.54,348.43,378.59,368.49,378.79,386.99,407.64,402.92,406.44,416.71,460.25,451.18,444.03,481.59,498.01,496.76,521.67
,KALAPARA,274.31,312.65,333.00,338.31,366.96,400.30,443.76,455.04,447.30,454.88,500.95,550.71,563.13,569.41,561.55,570.56,561.34,593.45,613.46,630.25,688.41,687.09,712.93,726.72
,MIRJAGANJ,150.71,163.43,157.32,163.41,160.09,175.05,166.33,178.86,173.12,185.80,194.64,205.27,206.06,209.46,213.16,225.71,226.81,253.26,255.23,267.38,291.53,294.62,301.05,326.16
,MOHIPUR,32.14,29.70,36.73,34.68,33.38,37.33,40.07,39.06,35.17,48.78,50.48,62.27,43.41,43.34,47.62,50.10,47.23,49.51,56.08,56.71,56.01,59.32,58.43,54.39
,PATUAKHALI SADAR,1218.51,1385.33,1269.62,1311.49,1311.52,1452.68,1404.03,1481.71,1434.35,1536.77,1544.98,1699.68,1680.48,1743.20,1737.98,1777.42,1723.87,1850.31,1896.17,1893.42,2056.23,2004.03,2042.82,2182.56
,RANGABALI,25.34,30.99,28.81,27.93,28.48,35.85,31.68,32.19,31.79,36.56,34.27,35.16,45.67,39.95,38.13,40.37,39.90,39.80,43.78,42.89,48.86,47.99,44.51,47.12
PIROJPUR Total,,2596.86,2779.02,2773.88,2861.27,2854.01,3042.30,3058.94,3193.34,3139.56,3474.30,3466.74,3573.63,3522.61,3732.76,3905.07,4005.44,4142.63,4345.40,4198.02,4110.93,4369.48,4407.28,4567.77,4605.20
PIROJPUR,BHANDARIA,431.71,450.05,449.49,463.77,468.77,481.45,485.21,501.90,494.74,542.55,539.72,550.59,546.74,578.77,637.73,650.07,648.87,687.08,660.86,625.63,708.92,711.26,742.72,732.39
,INDURKANI,98.31,104.53,101.29,105.29,105.05,111.69,107.41,107.94,107.03,112.55,110.79,115.83,118.48,124.57,126.06,122.12,123.32,132.99,133.75,142.46,139.94,140.44,141.48,141.75
,KAOWKHALI,142.99,146.57,140.58,146.29,143.01,132.55,142.69,151.05,146.61,156.64,153.87,159.03,157.31,165.84,164.11,169.49,171.02,178.55,181.43,185.69,196.26,199.10,203.84,197.20
,MATHBARIA,577.31,605.45,618.82,657.53,652.17,689.34,711.23,746.30,735.21,796.01,831.52,861.11,862.69,909.14,949.83,972.95,976.48,1026.08,1038.30,1031.79,1087.47,1100.76,1128.04,1130.58
,NAZIRPUR,152.80,174.27,160.29,162.17,159.75,178.12,170.84,172.83,162.75,192.09,175.35,182.93,180.62,205.21,242.12,238.89,315.93,337.50,241.13,222.28,240.98,239.29,239.73,240.48
,NESARABAD,480.45,518.45,533.16,546.97,543.06,597.12,615.85,643.98,629.15,741.80,722.02,762.77,724.16,756.88,781.63,789.35,740.42,827.81,846.64,848.88,813.44,843.84,873.48,884.97
,PIROJPUR SADAR,713.29,779.70,770.25,779.25,782.20,852.04,825.72,869.36,864.07,932.66,933.48,941.37,932.62,992.34,1003.60,1062.57,1166.59,1155.39,1095.92,1054.20,1182.47,1172.59,1238.47,1277.83
RAJBARI Total,,1721.26,1897.96,1842.15,1896.10,1961.58,2054.76,2109.73,2263.85,2276.96,2458.02,2570.26,2711.28,2704.41,2877.09,2875.17,2978.05,2981.14,3154.82,3182.37,3186.24,3337.64,3424.45,3529.84,3576.78
RAJBARI,BALIAKANDI,161.97,175.55,163.11,170.38,168.17,185.09,183.55,197.40,194.81,220.28,219.76,232.71,226.85,249.55,244.90,251.29,241.38,264.25,257.46,257.62,258.76,261.89,263.84,269.89
,GOALANDA,119.16,125.85,122.64,126.68,125.72,142.26,138.27,147.97,145.84,152.66,156.35,168.89,170.10,182.04,183.94,194.29,203.83,221.34,232.25,232.07,249.44,269.41,274.64,292.97
,KALUKHALI,87.75,133.45,102.00,104.23,106.17,121.62,121.69,131.46,129.01,134.89,144.14,155.39,159.23,171.58,182.91,185.93,181.47,196.15,182.00,182.18,193.79,198.45,203.59,185.49
,PANGSHA,392.95,446.09,448.61,470.44,485.96,529.31,536.30,581.52,588.91,632.42,650.53,708.51,689.33,741.35,755.39,778.75,768.70,815.89,795.24,809.03,822.06,838.11,878.02,884.08
,RAJBARI SADAR,959.45,1017.02,1005.80,1024.37,1075.56,1076.47,1129.92,1205.51,1218.40,1317.77,1399.48,1445.78,1458.91,1532.57,1508.03,1567.80,1585.76,1657.20,1715.42,1705.34,1813.57,1856.58,1909.76,1944.36
RAJSHAHI Total,,8698.93,9438.97,9196.21,9653.95,9704.23,10392.30,10431.16,11169.42,10918.35,11984.98,11942.49,12163.31,12299.09,13023.05,13344.36,13683.28,14418.51,15120.85,15083.92,15072.84,16456.04,16472.41,16048.29,16145.27
RAJSHAHI,AIRPORT,40.24,44.66,44.64,47.29,41.83,45.71,42.59,44.99,42.38,53.17,55.41,56.65,55.82,59.83,57.75,63.27,64.22,70.69,75.41,67.63,69.95,69.63,69.90,73.89
,BAGHA,149.99,170.07,164.85,157.45,153.21,172.01,170.53,169.25,168.16,187.86,199.81,213.55,203.70,229.20,248.70,239.90,240.79,272.08,272.63,269.42,297.16,307.31,306.70,311.82
,BAGMARA,256.92,287.49,281.85,294.41,306.06,334.95,328.18,347.86,362.33,393.84,417.63,416.45,398.63,416.37,413.96,442.73,445.00,490.65,468.82,462.54,501.78,529.92,522.74,535.92
,BOALIA,5490.21,6084.59,5763.48,6106.70,6126.63,6630.69,6592.69,7195.87,7021.27,7839.97,7663.00,7651.91,7801.34,8351.78,8521.29,8674.08,9472.08,9705.27,9639.59,9647.78,10500.66,10497.53,10187.23,10227.35
,CHARGHAT,105.83,118.02,118.13,132.69,135.78,153.74,140.53,153.13,136.98,155.91,153.38,158.45,146.78,161.75,167.81,176.78,169.71,197.50,196.55,199.54,212.57,231.03,226.52,228.33
,DURGAPUR,73.48,82.30,80.89,79.86,81.72,90.26,88.60,89.53,88.01,98.52,99.50,108.52,99.02,107.74,108.67,111.52,113.53,122.35,120.88,118.21,123.21,129.08,126.31,128.62
,GODAGARI,285.94,299.19,295.74,299.01,293.21,305.88,306.85,324.42,325.29,349.16,371.61,416.90,433.57,434.17,445.69,464.33,461.21,477.07,486.35,477.14,480.54,493.93,500.70,492.55
,KATAKHALI,45.19,49.33,43.86,48.28,48.13,51.84,55.79,56.49,55.14,59.26,63.29,77.54,68.17,64.41,75.18,77.15,76.55,82.12,79.01,75.43,69.84,69.17,72.11,72.23
,KORNOHAR,10.23,11.07,11.33,11.76,11.75,11.86,12.20,12.33,11.48,12.00,12.00,16.99,13.90,13.86,15.34,17.02,17.43,17.38,18.62,17.93,17.87,18.98,19.35,18.13
,MOHANPUR,136.03,150.89,156.89,160.98,164.06,165.12,168.55,168.33,163.02,173.47,195.45,224.63,212.24,220.66,222.91,223.92,220.84,233.01,226.34,226.27,239.74,255.03,264.21,257.72
,MOTIHAR,444.99,430.98,452.64,465.99,487.87,498.13,514.95,515.83,522.80,553.19,556.07,570.85,600.34,606.91,637.12,672.38,690.78,748.36,728.37,735.95,818.28,832.94,861.66,857.88
,PABA,101.55,111.40,114.95,123.02,122.85,134.10,136.02,138.76,136.95,147.96,154.26,187.09,170.10,175.38,180.69,184.59,172.81,177.39,194.01,204.44,214.02,231.08,223.86,217.49
,PUTHIA,339.95,386.13,378.16,391.31,398.12,421.32,428.81,451.68,445.33,471.78,474.34,483.42,471.34,482.38,487.17,492.17,471.94,503.27,504.73,505.67,506.04,537.02,530.02,558.54
,RAJPARA,650.94,694.44,733.88,765.92,742.51,783.49,789.48,826.86,829.71,893.55,922.87,943.48,975.34,1029.48,1093.09,1144.64,1088.06,1220.89,1293.50,1263.73,1345.85,1448.31,1366.45,1386.34
